"Criterion","Accuracy","tp","fp","tn","fn"
"ABDOMINAL","0.6511627906976745","15.0","15.0","41.0","15.0"
"ADVANCED_CAD","0.5348837209302325","27.0","22.0","19.0","18.0"
"ALCOHOL_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ASP_FOR_MI","0.627906976744186","50.0","14.0","4.0","18.0"
"CREATININE","0.5581395348837209","10.0","24.0","38.0","14.0"
"DIETSUPP_2MOS","0.5348837209302325","29.0","25.0","17.0","15.0"
"DRUG_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ENGLISH","0.8255813953488372","71.0","13.0","0.0","2.0"
"HBA1C","0.5813953488372093","14.0","15.0","36.0","21.0"
"KETO_1YR","1.0","0.0","0.0","86.0","0.0"
"MAJOR_DIABETES","0.5581395348837209","31.0","26.0","17.0","12.0"
"MAKES_DECISIONS","0.9651162790697675","82.0","2.0","1.0","1.0"
"MI_6MOS","0.9069767441860465","0.0","0.0","78.0","8.0"
"OVERALL_MICRO","0.7441860465116279","329.0","156.0","503.0","130.0"
"OVERALL_MACRO","0.7441860465116279","329.0","156.0","503.0","130.0"
