"Criterion","Prec_met","Rec_met","Speci_met","F1_met","Prec_notmet","Rec_notmet","F1_notmet","F1_overall","AUC_overall"
"ABDOMINAL","0.4231","0.3667","0.7321","0.3929","0.6833","0.7321","0.7069","0.5499","0.5494"
"ADVANCED_CAD","0.6047","0.5778","0.5854","0.5909","0.5581","0.5854","0.5714","0.5812","0.5816"
"ALCOHOL_ABUSE","0.0","0.0","1.0","0.0","0.9651","1.0","0.9822","0.4911","0.5"
"ASP_FOR_MI","0.7941","0.7941","0.2222","0.7941","0.2222","0.2222","0.2222","0.5082","0.5082"
"CREATININE","0.275","0.4583","0.5323","0.3437","0.7174","0.5323","0.6111","0.4774","0.4953"
"DIETSUPP_2MOS","0.549","0.6364","0.4524","0.5895","0.5429","0.4524","0.4935","0.5415","0.5444"
"DRUG_ABUSE","0.0","0.0","1.0","0.0","0.9651","1.0","0.9822","0.4911","0.5"
"ENGLISH","0.8471","0.9863","0.0","0.9114","0.0","0.0","0.0","0.4557","0.4932"
"HBA1C","0.4783","0.3143","0.7647","0.3793","0.619","0.7647","0.6842","0.5318","0.5395"
"KETO_1YR","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.5","0.5"
"MAJOR_DIABETES","0.4833","0.6744","0.2791","0.5631","0.4615","0.2791","0.3478","0.4555","0.4767"
"MAKES_DECISIONS","0.9651","1.0","0.0","0.9822","0.0","0.0","0.0","0.4911","0.5"
"MI_6MOS","0.0","0.0","1.0","0.0","0.907","1.0","0.9512","0.4756","0.5"
"OVERALL_MICRO","0.6743","0.7081","0.7618","0.6908","0.7893","0.7618","0.7753","0.733","0.7349"
"OVERALL_MACRO","0.4169","0.4468","0.5822","0.4267","0.5878","0.5822","0.581","0.5038","0.5145"
