"Criterion","Accuracy","tp","fp","tn","fn"
"ABDOMINAL","0.6511627906976745","16.0","16.0","40.0","14.0"
"ADVANCED_CAD","0.5116279069767442","29.0","26.0","15.0","16.0"
"ALCOHOL_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ASP_FOR_MI","0.6511627906976745","54.0","16.0","2.0","14.0"
"CREATININE","0.7441860465116279","9.0","7.0","55.0","15.0"
"DIETSUPP_2MOS","0.5116279069767442","29.0","27.0","15.0","15.0"
"DRUG_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ENGLISH","0.8488372093023255","72.0","12.0","1.0","1.0"
"HBA1C","0.5581395348837209","7.0","10.0","41.0","28.0"
"KETO_1YR","1.0","0.0","0.0","86.0","0.0"
"MAJOR_DIABETES","0.5232558139534884","31.0","29.0","14.0","12.0"
"MAKES_DECISIONS","0.9651162790697675","83.0","3.0","0.0","0.0"
"MI_6MOS","0.9069767441860465","0.0","0.0","78.0","8.0"
"OVERALL_MICRO","0.7540250447227191","330.0","146.0","513.0","129.0"
"OVERALL_MACRO","0.7540250447227191","330.0","146.0","513.0","129.0"
