"Criterion","Prec_met","Rec_met","Speci_met","F1_met","Prec_notmet","Rec_notmet","F1_notmet","F1_overall","AUC_overall"
"ABDOMINAL","0.0","0.0","1.0","0.0","0.6512","1.0","0.7887","0.3944","0.5"
"ADVANCED_CAD","0.5233","1.0","0.0","0.687","0.0","0.0","0.0","0.3435","0.5"
"ALCOHOL_ABUSE","0.0","0.0","1.0","0.0","0.9651","1.0","0.9822","0.4911","0.5"
"ASP_FOR_MI","0.7907","1.0","0.0","0.8831","0.0","0.0","0.0","0.4416","0.5"
"CREATININE","0.0","0.0","1.0","0.0","0.7209","1.0","0.8378","0.4189","0.5"
"DIETSUPP_2MOS","0.5116","1.0","0.0","0.6769","0.0","0.0","0.0","0.3385","0.5"
"DRUG_ABUSE","0.0","0.0","1.0","0.0","0.9651","1.0","0.9822","0.4911","0.5"
"ENGLISH","0.8488","1.0","0.0","0.9182","0.0","0.0","0.0","0.4591","0.5"
"HBA1C","0.0","0.0","1.0","0.0","0.593","1.0","0.7445","0.3723","0.5"
"KETO_1YR","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.5","0.5"
"MAJOR_DIABETES","0.5","1.0","0.0","0.6667","0.0","0.0","0.0","0.3333","0.5"
"MAKES_DECISIONS","0.9651","1.0","0.0","0.9822","0.0","0.0","0.0","0.4911","0.5"
"MI_6MOS","0.0","0.0","1.0","0.0","0.907","1.0","0.9512","0.4756","0.5"
"OVERALL_MICRO","0.6899","0.7756","0.7572","0.7303","0.8289","0.7572","0.7914","0.7608","0.7664"
"OVERALL_MACRO","0.3184","0.4615","0.5385","0.3703","0.4463","0.5385","0.4836","0.427","0.5"
