"Criterion","Accuracy","tp","fp","tn","fn"
"ABDOMINAL","0.6627906976744186","11.0","10.0","46.0","19.0"
"ADVANCED_CAD","0.6976744186046512","39.0","20.0","21.0","6.0"
"ALCOHOL_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ASP_FOR_MI","0.7790697674418605","62.0","13.0","5.0","6.0"
"CREATININE","0.7906976744186046","15.0","9.0","53.0","9.0"
"DIETSUPP_2MOS","0.627906976744186","30.0","18.0","24.0","14.0"
"DRUG_ABUSE","0.9534883720930233","0.0","1.0","82.0","3.0"
"ENGLISH","0.8488372093023255","73.0","13.0","0.0","0.0"
"HBA1C","0.6046511627906976","15.0","14.0","37.0","20.0"
"KETO_1YR","1.0","0.0","0.0","86.0","0.0"
"MAJOR_DIABETES","0.7441860465116279","36.0","15.0","28.0","7.0"
"MAKES_DECISIONS","0.9651162790697675","83.0","3.0","0.0","0.0"
"MI_6MOS","0.9069767441860465","0.0","0.0","78.0","8.0"
"OVERALL_MICRO","0.8112701252236136","364.0","116.0","543.0","95.0"
"OVERALL_MACRO","0.8112701252236136","364.0","116.0","543.0","95.0"
