"Criterion","Prec_met","Rec_met","Speci_met","F1_met","Prec_notmet","Rec_notmet","F1_notmet","F1_overall","AUC_overall"
"ABDOMINAL","0.5238","0.3667","0.8214","0.4314","0.7077","0.8214","0.7603","0.5959","0.594"
"ADVANCED_CAD","0.661","0.8667","0.5122","0.75","0.7778","0.5122","0.6176","0.6838","0.6894"
"ALCOHOL_ABUSE","0.0","0.0","1.0","0.0","0.9651","1.0","0.9822","0.4911","0.5"
"ASP_FOR_MI","0.8267","0.9118","0.2778","0.8671","0.4545","0.2778","0.3448","0.606","0.5948"
"CREATININE","0.625","0.625","0.8548","0.625","0.8548","0.8548","0.8548","0.7399","0.7399"
"DIETSUPP_2MOS","0.625","0.6818","0.5714","0.6522","0.6316","0.5714","0.6","0.6261","0.6266"
"DRUG_ABUSE","0.0","0.0","0.988","0.0","0.9647","0.988","0.9762","0.4881","0.494"
"ENGLISH","0.8488","1.0","0.0","0.9182","0.0","0.0","0.0","0.4591","0.5"
"HBA1C","0.5172","0.4286","0.7255","0.4688","0.6491","0.7255","0.6852","0.577","0.577"
"KETO_1YR","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.5","0.5"
"MAJOR_DIABETES","0.7059","0.8372","0.6512","0.766","0.8","0.6512","0.7179","0.742","0.7442"
"MAKES_DECISIONS","0.9651","1.0","0.0","0.9822","0.0","0.0","0.0","0.4911","0.5"
"MI_6MOS","0.0","0.0","1.0","0.0","0.907","1.0","0.9512","0.4756","0.5"
"OVERALL_MICRO","0.7583","0.793","0.824","0.7753","0.8511","0.824","0.8373","0.8063","0.8085"
"OVERALL_MACRO","0.4845","0.5167","0.6463","0.497","0.6702","0.6463","0.6531","0.5751","0.5815"
