"Criterion","Accuracy","tp","fp","tn","fn"
"ABDOMINAL","0.8837209302325582","25.0","5.0","51.0","5.0"
"ADVANCED_CAD","0.7906976744186046","36.0","9.0","32.0","9.0"
"ALCOHOL_ABUSE","0.9534883720930233","0.0","1.0","82.0","3.0"
"ASP_FOR_MI","0.8604651162790697","68.0","12.0","6.0","0.0"
"CREATININE","0.8372093023255814","19.0","9.0","53.0","5.0"
"DIETSUPP_2MOS","0.9186046511627907","41.0","4.0","38.0","3.0"
"DRUG_ABUSE","0.9651162790697675","1.0","1.0","82.0","2.0"
"ENGLISH","0.9418604651162791","73.0","5.0","8.0","0.0"
"HBA1C","0.9418604651162791","30.0","0.0","51.0","5.0"
"KETO_1YR","1.0","0.0","0.0","86.0","0.0"
"MAJOR_DIABETES","0.8372093023255814","38.0","9.0","34.0","5.0"
"MAKES_DECISIONS","0.9651162790697675","83.0","3.0","0.0","0.0"
"MI_6MOS","0.9651162790697675","5.0","0.0","78.0","3.0"
"OVERALL_MICRO","0.9123434704830053","419.0","58.0","601.0","40.0"
"OVERALL_MACRO","0.9123434704830053","419.0","58.0","601.0","40.0"
