"Criterion","Prec_met","Rec_met","Speci_met","F1_met","Prec_notmet","Rec_notmet","F1_notmet","F1_overall","AUC_overall"
"ABDOMINAL","0.8333","0.8333","0.9107","0.8333","0.9107","0.9107","0.9107","0.872","0.872"
"ADVANCED_CAD","0.8","0.8","0.7805","0.8","0.7805","0.7805","0.7805","0.7902","0.7902"
"ALCOHOL_ABUSE","0.0","0.0","0.988","0.0","0.9647","0.988","0.9762","0.4881","0.494"
"ASP_FOR_MI","0.85","1.0","0.3333","0.9189","1.0","0.3333","0.5","0.7095","0.6667"
"CREATININE","0.6786","0.7917","0.8548","0.7308","0.9138","0.8548","0.8833","0.8071","0.8233"
"DIETSUPP_2MOS","0.9111","0.9318","0.9048","0.9213","0.9268","0.9048","0.9157","0.9185","0.9183"
"DRUG_ABUSE","0.5","0.3333","0.988","0.4","0.9762","0.988","0.982","0.691","0.6606"
"ENGLISH","0.9359","1.0","0.6154","0.9669","1.0","0.6154","0.7619","0.8644","0.8077"
"HBA1C","1.0","0.8571","1.0","0.9231","0.9107","1.0","0.9533","0.9382","0.9286"
"KETO_1YR","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.5","0.5"
"MAJOR_DIABETES","0.8085","0.8837","0.7907","0.8444","0.8718","0.7907","0.8293","0.8369","0.8372"
"MAKES_DECISIONS","0.9651","1.0","0.0","0.9822","0.0","0.0","0.0","0.4911","0.5"
"MI_6MOS","1.0","0.625","1.0","0.7692","0.963","1.0","0.9811","0.8752","0.8125"
"OVERALL_MICRO","0.8784","0.9129","0.912","0.8953","0.9376","0.912","0.9246","0.91","0.9124"
"OVERALL_MACRO","0.714","0.6966","0.782","0.6993","0.8629","0.782","0.8057","0.7525","0.7393"
