"Criterion","Accuracy","tp","fp","tn","fn"
"ABDOMINAL","0.6511627906976745","13.0","13.0","43.0","17.0"
"ADVANCED_CAD","0.7325581395348837","37.0","15.0","26.0","8.0"
"ALCOHOL_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ASP_FOR_MI","0.7558139534883721","59.0","12.0","6.0","9.0"
"CREATININE","0.7209302325581395","12.0","12.0","50.0","12.0"
"DIETSUPP_2MOS","0.5813953488372093","25.0","17.0","25.0","19.0"
"DRUG_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ENGLISH","0.8488372093023255","73.0","13.0","0.0","0.0"
"HBA1C","0.6511627906976745","17.0","12.0","39.0","18.0"
"KETO_1YR","1.0","0.0","0.0","86.0","0.0"
"MAJOR_DIABETES","0.7558139534883721","34.0","12.0","31.0","9.0"
"MAKES_DECISIONS","0.9651162790697675","83.0","3.0","0.0","0.0"
"MI_6MOS","0.9302325581395349","2.0","0.0","78.0","6.0"
"OVERALL_MICRO","0.8094812164579607","355.0","109.0","550.0","104.0"
"OVERALL_MACRO","0.8094812164579607","355.0","109.0","550.0","104.0"
