"Criterion","Accuracy","tp","fp","tn","fn"
"ABDOMINAL","0.6744186046511628","13.0","11.0","45.0","17.0"
"ADVANCED_CAD","0.6976744186046512","38.0","19.0","22.0","7.0"
"ALCOHOL_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ASP_FOR_MI","0.7790697674418605","62.0","13.0","5.0","6.0"
"CREATININE","0.7558139534883721","15.0","12.0","50.0","9.0"
"DIETSUPP_2MOS","0.627906976744186","30.0","18.0","24.0","14.0"
"DRUG_ABUSE","0.9651162790697675","0.0","0.0","83.0","3.0"
"ENGLISH","0.8488372093023255","73.0","13.0","0.0","0.0"
"HBA1C","0.5813953488372093","12.0","13.0","38.0","23.0"
"KETO_1YR","1.0","0.0","0.0","86.0","0.0"
"MAJOR_DIABETES","0.7441860465116279","38.0","17.0","26.0","5.0"
"MAKES_DECISIONS","0.9651162790697675","83.0","3.0","0.0","0.0"
"MI_6MOS","0.9069767441860465","0.0","0.0","78.0","8.0"
"OVERALL_MICRO","0.8085867620751341","364.0","119.0","540.0","95.0"
"OVERALL_MACRO","0.8085867620751341","364.0","119.0","540.0","95.0"
